,Sample.Name,Group
slice1,A1,D14.Group
slice1_A2,A2,D35.Group
slice1_B1,B1,D14.Group
slice1_B2,B2,D35.Group
slice1_C1,C1,D0.Group
slice1_C2,C2,D35.Group
slice1_D1,D1,D14.Group
slice1_D2,D2,D0.Group
