cell_id,Gate
10133,0
10134,0
10135,0
10136,0
10137,0
10138,0
10139,0
10140,0
10141,0
10142,0
10143,0
10144,0
10145,0
10146,0
10147,0
10148,0
10149,0
10150,0
10151,0
10152,0
10153,0
10154,0
10155,0
10156,0
10157,1
10158,0
10159,0
10160,0
10161,0
10162,1
10163,0
10164,0
10165,0
10166,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10179,0
10180,0
10181,0
10182,0
10183,0
10184,0
10185,0
10186,0
10187,0
10188,0
10189,0
10190,0
10191,0
10192,0
10193,0
10194,0
10195,0
10196,0
10197,0
10198,0
10199,0
10200,0
10201,0
10202,0
10203,0
10204,0
10205,0
10206,0
10207,0
10208,0
10209,0
10210,0
10211,0
10212,0
10213,0
10214,0
10215,0
10216,0
10217,0
10218,0
10219,0
10220,0
10221,0
10222,0
10223,0
10224,0
10225,0
10226,0
10227,0
10228,0
10229,0
10230,0
10231,0
10232,0
10233,0
10234,0
10235,0
10236,0
10237,0
10238,0
10239,1
10240,1
10241,0
10242,0
10243,1
10244,1
10245,1
10246,0
10247,0
10248,0
10249,1
10250,0
10251,0
10252,0
10253,0
10254,0
10255,0
10256,0
10257,0
10258,0
10259,0
10260,0
10261,0
10262,0
10263,0
10264,1
10265,1
10266,0
10267,0
10268,1
10269,1
10270,1
10271,1
10272,0
10273,0
10274,0
10275,1
10276,0
10277,0
10278,1
10279,0
10280,1
10281,0
10282,0
10283,1
10284,0
10285,0
10286,1
10287,0
10288,0
10289,0
10290,1
10291,0
10292,0
10293,0
10294,0
10295,0
10296,1
10297,0
10298,0
10299,1
10300,0
10301,1
10302,0
10303,0
10304,0
10305,0
10306,0
10307,1
10308,1
10309,0
10310,1
10311,0
10312,1
10313,1
10314,1
10315,0
10316,0
10317,1
10318,1
10319,1
10320,0
10321,1
10322,1
10323,1
10324,1
10325,1
10326,1
10327,0
10328,1
10329,1
10330,1
10331,1
10332,1
10333,1
10334,1
10335,1
10336,1
10337,1
10338,1
10339,1
10340,1
10341,1
10342,0
10343,0
10344,0
10345,1
10346,1
10347,1
10348,1
10349,1
10350,1
10351,1
10352,0
10353,1
10354,1
10355,1
10356,1
10357,1
10358,1
10359,1
10360,1
10361,1
10362,1
10363,1
10364,1
10365,1
10366,1
10367,1
10368,1
10369,0
10370,1
10371,1
10372,1
10373,1
10374,0
10375,1
10376,0
10377,1
10378,0
10379,1
10380,0
10381,1
10382,1
10383,0
10384,1
10385,1
10386,0
10387,1
10388,0
10389,0
10390,1
10391,0
10392,1
10393,0
10394,1
10395,1
10396,1
10397,0
10398,0
10399,0
10400,0
10401,0
10402,0
10403,0
10404,0
10405,0
10406,0
10407,0
10408,1
10409,0
10410,1
10411,0
10412,1
10413,0
10414,1
10415,0
10416,1
10417,1
10418,0
10419,0
10420,0
10421,0
10422,1
10423,1
10424,1
10425,1
10426,1
10427,1
10428,1
10429,1
10430,1
10431,1
10432,1
10433,1
10434,0
10435,1
10436,1
10437,1
10438,0
10439,1
10440,1
10441,1
10442,1
10443,1
10444,1
10445,1
10446,1
10447,1
10448,0
10449,1
10450,1
10451,0
10452,1
10453,1
10454,1
10455,1
10456,1
10457,1
10458,1
10459,1
10460,1
10461,0
10462,0
10463,0
10464,0
10465,1
10466,0
10467,0
10468,0
10469,1
10470,0
10471,1
10472,1
10473,0
10474,1
10475,0
10476,0
10477,0
10478,1
10479,1
10480,0
10481,1
10482,1
10483,1
10484,0
10485,0
10486,0
10487,0
10488,0
10489,0
10490,0
10491,0
10497,0
10498,0
10499,0
10500,0
10501,1
10502,1
10503,1
10504,1
10505,0
10506,1
10507,0
10508,1
10509,1
10510,1
10511,1
10512,0
10513,1
10514,1
10515,1
10516,1
10517,0
10518,1
10519,1
10520,0
10521,1
10522,1
10523,1
10524,0
10525,1
10526,1
10527,1
10528,1
10529,1
10530,1
10531,1
10532,0
10533,1
10534,1
10535,1
10536,1
10537,1
10538,0
10539,1
10540,0
10541,1
10542,1
10543,0
10544,1
10545,1
10546,0
10547,1
10548,1
10549,0
10550,1
10551,0
10552,1
10553,1
10554,1
10555,1
10556,0
10557,1
10558,1
10559,1
10560,1
10561,1
10562,1
10563,1
10564,1
10565,0
10566,1
