cell_id,Gate
337101,1
337102,1
337103,1
337104,0
337105,1
337106,1
337107,1
337108,1
337109,1
337110,0
337111,1
337112,1
337113,1
337114,1
337115,1
337116,1
337117,1
337118,1
337119,1
337120,1
337121,1
337122,0
337123,1
337124,1
337125,1
337126,1
337127,1
337128,1
337129,1
337130,1
337131,1
337132,1
337133,1
337134,1
337135,1
337136,1
337137,1
337138,1
337139,1
337140,1
337141,1
337142,1
337143,1
337144,1
337145,1
337146,0
337147,1
337148,0
337149,0
337150,1
337151,1
337152,1
337153,1
337154,1
337155,1
337156,1
337157,0
337158,1
337159,1
337160,1
337161,1
337162,0
337163,1
337164,1
337165,1
337166,1
337167,1
337168,0
337169,1
337170,1
337171,0
337172,1
337173,1
337174,1
337175,1
337176,1
337177,0
337178,1
337179,1
337180,1
337181,0
337182,1
337183,1
337184,1
337185,1
337186,0
337187,1
337188,0
337189,1
337190,1
337191,1
337192,1
337193,1
337194,1
337195,1
337196,1
337197,1
337198,1
337199,1
337200,1
337201,0
337202,1
337203,0
337204,0
337205,1
337206,0
337207,0
337208,0
337209,0
337210,1
337211,1
337212,1
337213,1
337214,0
337215,0
337216,1
337217,1
337218,1
337219,1
337220,1
337221,1
337222,1
337223,1
337224,1
337225,0
337226,1
337227,1
337228,1
337229,1
337230,1
337231,1
337232,1
337233,1
337234,1
337235,1
337236,1
337237,1
337238,1
337239,1
337240,1
337241,1
337242,1
337243,1
337244,1
337245,1
337246,1
337247,1
337248,1
337249,1
337250,1
337251,1
337252,1
337253,1
337254,1
337255,1
337256,1
337257,0
337258,1
337259,1
337260,1
337261,1
337262,0
337263,1
337264,0
337265,1
337266,1
337267,1
337268,1
337269,1
337270,1
337271,1
337272,1
337273,1
337274,0
337275,0
337276,1
337277,1
337278,1
337279,0
337280,0
337281,1
337282,1
337283,0
337284,1
337285,1
337286,1
337287,0
337288,1
337289,0
337290,1
337291,1
337292,1
337293,1
337294,0
337295,1
337296,1
337297,1
337298,0
337299,0
337300,1
337301,1
337302,1
337303,1
337304,1
337305,1
337306,1
337307,1
337308,0
337309,1
337310,1
337311,1
337312,1
337313,1
337314,1
337315,0
337316,1
337317,1
337318,1
337319,1
337320,0
337321,1
337322,1
337323,0
337324,1
337325,1
337326,0
337327,1
337328,1
337329,1
337330,1
337331,1
337332,0
337333,0
337334,0
337335,1
337336,0
337337,0
337338,1
337339,1
337340,0
337341,0
337342,1
337343,0
337344,1
337345,0
337346,1
337347,1
337348,0
337349,0
337350,1
337351,1
337352,0
337353,1
337354,1
337355,1
337356,1
337357,1
337358,1
337359,1
337360,0
337361,1
337362,1
337363,1
337364,1
337365,1
337366,1
337367,0
337368,0
337369,1
337370,1
337371,1
337372,0
337373,1
337374,0
337375,1
337376,1
337377,1
337378,0
337379,1
337380,0
337381,0
337382,1
337383,1
337384,1
337385,0
337386,1
337387,1
337388,0
337389,1
337390,1
337391,1
337392,0
337393,1
337394,1
337395,1
337396,1
337397,1
337398,0
337399,1
337400,0
337401,1
337402,0
337403,1
337404,0
337405,1
337406,1
337407,1
337408,1
337409,1
337410,1
337411,1
337412,1
337413,0
337414,1
337415,1
337416,0
337417,1
337418,1
337419,1
337420,1
337421,1
337422,0
337423,0
337424,1
337425,1
337426,0
337427,0
337428,0
337429,1
337430,0
337431,1
337432,1
337433,1
337434,1
337435,1
337436,1
337437,1
337438,1
337439,1
337440,1
337441,1
337442,1
337443,1
337444,1
337445,1
337446,1
337447,1
337448,1
337449,0
337450,1
337451,1
337452,1
337453,1
337454,1
337455,1
337456,1
337457,1
337458,0
337459,1
337460,1
337461,1
337462,0
337463,0
337464,1
337465,1
337466,1
337467,1
337468,1
337469,1
337470,1
337471,1
337472,1
337473,1
337474,1
337475,1
337476,1
337477,1
337478,0
337479,1
337480,1
337481,0
337482,1
337483,1
337484,1
337485,1
337486,1
337487,1
337488,1
337489,1
337490,1
337491,1
337492,1
337493,1
337494,1
337495,1
337496,1
337497,1
337498,1
337499,0
337500,1
337501,1
337502,1
337503,1
337504,1
337505,1
337506,1
337507,1
337508,0
337509,1
337510,0
337511,0
337512,0
337513,1
337514,1
337515,1
337516,1
337517,1
337518,1
337519,1
337520,1
337521,1
337522,1
337523,1
337524,1
337525,1
337526,1
337527,1
337528,1
337529,1
337530,1
337531,1
337532,1
337533,0
337534,1
337535,1
337536,0
337537,1
337538,0
337539,1
337540,0
337541,0
337542,0
337543,1
337544,0
337545,0
337546,1
337547,1
337548,1
337549,1
337550,1
337551,1
337552,1
337553,1
337554,1
337555,0
337556,0
337557,0
337558,0
337559,0
337560,0
337561,0
