cell_id,Gate
10492,0
10493,0
10494,0
10495,1
10496,0
10656,0
10661,0
10662,0
10663,0
10664,0
10665,0
10666,0
10671,0
10674,0
10675,0
10676,0
10677,0
10680,0
10685,1
10686,0
10687,0
10690,0
10693,0
10697,1
10704,0
10705,1
10707,0
10710,1
10713,0
10715,0
10722,0
10724,0
10726,0
10730,0
10732,0
10733,0
10742,0
10745,0
10748,0
10749,0
10750,0
10751,0
10761,0
10763,0
10767,0
10768,0
10769,0
10770,0
10777,1
10778,0
10779,0
10780,0
10781,0
10782,1
10790,0
10792,0
10796,0
10798,0
10799,0
10800,0
10802,0
10808,0
10809,0
10810,0
10812,0
10814,0
10816,0
10821,0
10822,0
10823,1
10826,0
10827,0
10831,0
10833,0
10835,0
10837,0
10838,0
10841,0
10844,1
10851,0
10852,0
10853,0
10854,0
10855,0
10858,1
10863,0
10864,1
10866,0
10868,1
10870,1
10872,1
10875,0
10878,1
10880,1
10881,0
10884,1
10886,0
10988,0
10991,0
10993,0
10994,1
10995,0
10996,1
11007,0
11011,0
11012,1
11013,1
11014,1
11015,1
11023,1
11027,1
11029,0
11031,0
11032,1
11033,0
11041,1
11042,1
11043,1
11044,0
11045,1
11046,1
11053,1
11057,1
11059,1
11062,0
11063,1
11064,1
11074,0
11076,1
11079,0
11080,0
11081,0
11082,1
11090,1
11093,0
11095,1
11098,0
11099,0
11100,0
11109,1
11113,0
11116,0
11117,0
11118,0
11119,0
11121,1
11237,1
11239,1
11241,0
11243,0
11245,0
11247,0
11252,1
11254,1
11256,1
11258,1
11259,1
11260,1
11268,1
11269,1
11271,0
11273,1
11276,1
11278,1
11280,1
11281,1
11283,1
11286,0
11288,1
11290,0
11298,1
11299,1
11300,1
11301,1
11303,0
11305,1
11310,0
11312,1
11315,0
11317,0
11319,1
11321,1
11329,1
11332,0
11334,1
11337,1
11338,1
11340,1
11347,1
11350,1
11353,0
11355,1
11357,0
11358,1
11365,0
11368,1
11371,0
11374,0
11375,0
11376,1
11383,0
11389,0
11391,1
11392,0
11393,0
11394,0
11395,1
11412,1
11415,0
11417,1
11418,0
11419,1
11420,0
11432,0
11434,0
11435,1
11436,0
11437,0
11438,0
11449,0
11452,1
11453,1
11454,0
11455,0
11456,0
11457,0
11458,0
11459,0
11460,0
11461,0
11462,0
11463,0
11464,1
11465,1
11466,0
11467,1
11468,0
11469,1
11470,0
11471,0
11472,0
11473,1
11474,0
11475,0
11476,0
11477,1
11478,0
11479,0
11480,0
11481,1
11482,1
11483,0
11484,0
