cell_id,Gate
2,1
4,0
6,1
8,1
10,1
11,1
13,1
15,1
17,1
19,1
21,1
23,0
25,0
29,0
32,1
35,1
38,0
41,1
45,0
48,1
50,1
52,1
53,0
55,1
57,1
60,1
61,1
63,1
65,1
67,1
69,0
71,1
73,1
75,1
77,1
78,1
80,1
83,1
85,1
87,1
89,1
90,1
92,1
94,1
96,1
97,1
98,1
100,1
102,1
105,1
107,1
109,1
112,1
114,0
116,1
119,1
121,1
123,0
131,1
133,1
135,1
140,1
141,1
143,1
144,1
146,1
148,1
152,1
153,1
155,1
156,1
157,1
158,1
161,1
163,1
165,1
167,1
169,1
170,1
171,1
173,1
174,1
176,1
178,0
179,1
181,1
184,1
186,1
187,1
189,1
190,1
192,1
196,1
198,1
199,1
200,1
202,1
203,1
206,1
208,1
210,1
211,1
213,1
214,1
216,1
218,1
221,1
222,1
223,0
224,1
225,1
230,1
232,1
233,1
235,1
237,1
242,1
244,1
246,1
248,1
250,1
253,1
257,1
259,1
262,1
265,1
267,1
268,1
272,1
276,1
278,1
281,1
282,1
284,1
287,1
289,1
291,1
293,1
295,0
296,0
299,1
301,1
303,1
305,1
307,1
308,1
312,0
316,1
318,1
321,1
322,1
325,1
327,1
332,1
335,1
337,1
339,1
341,1
342,1
346,1
348,1
351,0
352,1
353,1
355,1
359,1
361,1
363,1
364,1
365,1
367,1
371,1
372,1
373,1
374,1
376,1
379,1
384,1
387,1
388,1
389,1
392,1
394,1
399,1
403,1
404,1
406,1
408,1
410,1
413,1
415,1
417,1
418,1
420,1
421,1
425,1
427,0
429,1
431,1
432,1
433,1
436,0
439,1
441,1
443,0
445,1
447,1
449,1
453,1
455,1
456,1
458,1
460,1
462,1
465,1
467,1
468,1
469,1
471,1
474,1
477,0
479,1
481,1
483,1
486,1
487,1
490,1
491,1
493,1
495,1
497,1
499,1
501,1
504,1
505,0
507,1
509,1
512,1
514,1
516,1
517,1
518,1
519,1
520,1
524,1
527,1
529,1
530,1
531,1
533,1
537,1
539,1
541,1
543,1
544,1
545,1
549,1
551,1
554,1
555,1
557,1
560,1
563,1
565,1
566,1
568,1
570,1
573,1
576,1
577,1
579,1
582,1
584,1
585,1
588,1
589,1
592,1
593,1
596,1
598,1
600,1
602,1
605,1
607,1
614,1
615,1
617,0
619,1
621,1
622,0
624,1
626,1
628,1
630,1
632,1
634,1
638,1
640,1
641,1
644,1
645,1
648,1
649,0
651,1
653,1
655,1
657,1
659,1
660,1
662,1
664,1
666,1
669,1
671,1
673,1
675,1
676,1
678,1
681,1
682,0
684,0
686,0
688,1
690,1
693,0
694,0
697,1
699,1
702,1
704,1
706,1
708,1
712,1
714,1
715,0
716,1
718,1
722,1
724,1
725,1
727,1
728,1
729,1
731,1
733,1
735,1
739,1
740,1
742,1
743,1
746,1
748,0
750,1
752,1
753,1
755,1
758,1
759,1
762,1
763,1
765,1
767,1
769,1
772,1
774,1
775,1
777,1
778,1
780,1
782,1
785,1
787,1
788,0
791,1
793,1
795,0
796,1
797,1
798,1
799,0
800,1
801,1
802,1
805,1
806,1
807,1
808,1
810,1
812,1
813,1
815,1
818,1
820,1
823,1
825,1
828,1
829,1
831,1
833,1
838,1
840,1
843,1
845,1
847,1
848,1
853,1
855,1
858,1
861,1
863,1
864,1
866,1
868,1
872,1
874,1
875,1
877,1
878,1
881,1
884,1
886,1
887,1
889,1
890,1
893,1
895,1
898,1
899,1
900,1
902,1
904,1
906,1
909,1
911,1
912,1
914,1
916,1
918,0
921,1
923,1
924,1
926,1
928,1
930,1
933,1
935,1
937,1
938,1
940,1
949,1
951,1
953,1
955,1
956,1
959,1
961,1
963,1
965,1
967,1
968,1
971,1
973,1
975,1
977,1
979,1
980,1
982,1
985,1
987,1
989,1
991,0
993,1
994,1
997,1
999,1
1001,1
1003,1
1005,1
1006,1
1008,1
1011,1
1013,1
1015,1
1017,1
1018,1
1020,1
1022,1
1024,1
1027,1
1029,1
1030,1
1032,1
1035,1
1037,1
1038,1
1041,1
1042,1
1043,1
1047,1
1049,1
1050,1
1052,1
1054,1
1055,1
1058,1
1060,1
1062,1
1064,1
1066,1
1067,1
1070,1
1072,1
1074,1
1076,1
1078,1
1079,1
1082,1
1084,1
1086,1
1088,1
1090,0
1092,1
1093,1
1096,1
1098,1
1100,1
1102,1
1104,1
1105,1
1107,1
1109,1
1111,1
1113,1
1116,0
1117,1
1119,1
1121,1
1123,0
1126,1
1128,1
1129,1
1131,0
1133,1
1135,1
1137,1
1139,1
1141,1
1143,1
1145,1
1147,1
1149,1
1151,1
1153,1
1155,1
1157,1
1159,0
1161,1
1163,1
1165,1
1167,1
1169,1
1171,1
1173,1
1175,1
1177,1
1180,1
1182,1
1184,1
1186,1
1188,1
1189,1
1191,1
1193,1
1195,1
1197,1
1199,1
1202,1
1203,1
1205,1
1207,1
1209,1
1211,1
1213,1
1215,1
1218,1
1219,1
1222,1
1224,1
1225,1
1227,1
1230,1
1231,1
1234,1
1235,1
1237,1
1239,1
1241,1
1243,1
1245,1
1247,1
1249,1
1251,1
1253,1
1256,1
1258,1
1260,1
1262,1
1264,1
1265,1
1267,1
1269,1
1272,1
1273,1
1275,1
1277,1
1279,1
1281,1
1283,1
1285,1
1287,1
1289,1
1291,1
1293,1
1295,1
1297,1
1300,1
1301,0
1303,1
1305,1
1307,1
1309,1
1311,1
1313,1
1316,1
1318,1
1319,1
1322,1
1324,1
1325,1
1327,1
1329,1
1331,1
1333,1
1335,1
1337,1
1340,1
1342,1
1344,1
1346,1
1348,1
1352,1
1356,1
1357,1
1359,0
1362,1
1364,1
1368,1
1371,0
1373,1
1375,1
1377,1
1378,1
1381,1
1383,1
1386,1
1388,1
1389,0
1390,1
1393,1
1395,1
1398,1
1400,1
1401,0
1402,1
1405,1
1407,1
1411,1
1412,1
1413,1
1414,1
1415,1
1418,1
1421,1
1423,0
1425,0
1426,0
1427,0
1430,0
1432,0
1434,0
1436,0
1438,0
1439,1
1441,1
1444,1
1446,1
1449,1
1450,0
1451,1
1453,0
1456,0
1458,1
1460,1
1462,1
1463,1
1467,1
1471,1
1472,1
1474,1
1475,1
1477,0
1479,1
1484,1
1485,1
1487,1
1489,0
1491,1
1493,1
1496,1
1498,1
1500,1
1502,1
1504,1
1506,1
1508,1
1510,1
1512,1
1515,1
1517,1
1519,0
1521,0
1525,1
1528,1
