cell_id,Gate
82179,0
82180,0
82181,1
82182,0
82183,1
82184,1
82185,1
82186,1
82187,1
82188,1
82189,1
82190,1
82191,0
82192,0
82193,0
82194,1
82195,1
82196,1
82197,1
82198,1
82199,1
82200,0
82201,1
82202,0
82203,1
82204,1
82205,0
82206,1
82207,0
82208,0
82209,0
82210,1
82211,1
82212,1
82213,1
82214,0
82215,1
82216,1
82217,0
82218,1
82219,1
82220,0
82221,0
82222,1
82223,1
82224,1
82225,0
82226,0
82227,0
82228,1
82229,1
82230,0
82231,0
82232,1
82233,0
82234,0
82235,1
82236,1
82237,1
82238,0
82239,1
82240,1
82241,0
82242,0
82243,1
82244,0
82245,0
82246,1
82247,1
82248,0
82249,0
82250,1
82251,0
82252,0
82253,1
82254,0
82255,0
82256,0
82257,1
82258,1
82259,0
82260,0
82261,0
82262,0
82263,0
82264,1
82265,0
82266,0
82267,1
82268,0
82269,0
82270,1
82271,1
82272,1
82273,1
82274,1
82275,0
82276,1
82277,1
82278,1
82279,1
82280,0
82281,1
82282,0
82283,0
82284,1
82285,1
82286,0
82287,1
82288,1
82289,0
82290,0
82291,0
82292,1
82293,1
82294,1
82295,0
82296,0
82297,1
82298,1
82299,1
82300,0
82301,0
82302,0
82303,0
82304,0
82305,1
82306,1
82307,0
82308,0
82309,0
82310,1
82311,1
82312,1
82313,0
82314,0
82315,1
82316,1
82317,1
82318,0
82319,0
82320,0
82321,0
82322,1
82323,0
82324,1
82325,1
82326,0
82327,0
82328,0
82329,0
82330,0
82331,0
82332,1
82333,1
82334,0
82335,0
82336,1
82337,1
82338,1
82339,0
82340,0
82341,0
82342,1
82343,1
82344,0
82345,1
82346,1
82347,0
82348,1
82349,1
82350,1
82351,0
82352,0
82353,0
82354,0
82355,1
82356,1
82357,1
82358,0
82359,1
82360,1
82361,1
82362,0
82363,1
82364,1
82365,0
82366,1
82367,1
82368,1
82369,1
82370,1
82371,1
82372,1
82373,1
82374,1
82375,1
82376,1
82377,0
82378,1
82379,1
82380,0
82381,1
82382,0
82383,1
82384,1
82385,1
82386,1
82387,1
82388,1
82389,0
82390,0
82391,1
82392,1
82393,1
82394,1
82395,0
82396,1
82397,0
82398,0
82399,1
82400,1
82401,0
82402,1
82403,1
82404,1
82405,1
82406,1
82407,1
82408,0
82409,0
82410,1
82411,0
82412,0
82413,0
82414,1
82415,1
82416,1
82417,0
82418,0
82419,0
82420,1
82421,0
82422,0
82423,0
82424,1
82425,1
82426,0
82427,1
82428,1
82429,1
82430,1
82431,1
82432,1
82433,1
82434,1
82435,1
82436,0
82437,1
82438,0
82439,1
82440,0
82441,1
82442,1
82443,1
82444,1
82445,1
82446,1
82447,1
82448,1
82449,1
82450,0
82451,1
82452,0
82453,1
82454,1
82455,0
82456,1
82457,1
82458,0
82459,1
82460,1
82461,0
82462,1
82463,1
82464,0
82465,0
82466,1
82467,1
82468,1
82469,0
82470,1
82471,1
82472,1
82473,0
82474,0
82475,0
82476,1
82477,0
82478,1
82479,1
82480,1
82481,1
82482,1
82483,0
82484,0
82485,1
82486,1
82487,1
82488,1
82489,0
82490,0
82491,1
82492,1
82493,0
82494,1
82495,1
82496,1
82497,1
82498,0
82499,1
82500,0
82501,0
82502,1
82503,0
82504,1
82505,1
82506,0
82507,1
82508,0
82509,0
82510,1
82511,1
82512,1
82513,0
82514,1
82515,0
82516,0
82517,1
82518,0
82519,0
82520,0
82521,1
82522,0
82523,0
82524,0
82525,0
82526,1
82527,0
82528,1
82529,1
82530,1
82531,0
82532,1
82533,1
82534,1
82535,1
82536,1
82537,0
82538,1
82539,1
82540,0
82541,1
82542,1
82543,0
82544,0
82545,0
82546,0
82547,1
82548,1
82549,1
82550,1
82551,1
82552,1
82553,1
82554,1
82555,1
82556,1
