cell_id,Gate
1,0
3,0
5,1
7,1
10,1
13,0
16,0
18,0
20,0
22,0
23,1
25,0
28,0
30,0
32,0
34,0
36,0
38,0
41,0
43,0
45,0
46,0
49,0
51,0
53,0
55,0
57,0
59,0
62,0
64,0
67,0
69,0
71,0
73,0
76,0
78,0
80,0
83,0
85,1
89,0
92,1
94,1
97,1
99,0
101,0
103,0
106,0
108,0
110,0
115,1
117,1
119,1
121,1
123,1
125,1
128,1
130,1
132,1
134,1
136,1
139,0
142,1
144,1
146,1
148,1
151,1
152,1
156,1
158,1
160,1
162,1
163,1
165,1
169,1
172,1
173,1
175,1
176,1
179,1
183,1
185,1
186,1
188,1
190,1
192,1
195,1
197,1
199,1
201,1
202,1
204,1
206,1
208,1
210,1
211,0
212,1
213,1
214,1
216,1
217,1
218,1
219,0
220,0
222,1
224,0
225,0
226,1
228,0
230,1
231,1
233,0
234,1
236,1
237,1
238,1
239,1
240,1
242,1
243,1
244,1
246,1
247,1
250,1
251,1
253,1
254,1
255,1
256,1
258,1
259,1
260,1
261,1
262,1
264,1
266,1
268,1
269,1
271,1
273,1
274,0
276,0
277,1
278,0
279,1
283,1
284,1
286,1
288,1
289,1
291,0
292,1
293,0
294,0
295,1
296,0
298,1
299,0
301,1
302,1
305,0
306,1
308,1
310,0
311,0
312,0
313,0
314,1
316,0
317,1
319,1
321,1
323,0
324,1
326,1
328,1
329,1
330,1
332,1
333,1
334,1
335,1
336,1
338,1
340,1
341,1
342,0
344,1
346,1
347,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
358,1
360,1
361,1
363,1
364,1
366,1
368,1
370,1
371,1
372,1
373,1
374,1
376,1
377,1
379,1
381,1
382,1
384,1
386,1
388,1
389,1
390,1
391,1
392,1
393,1
395,1
397,1
398,1
400,1
401,1
403,1
405,1
406,1
408,1
409,1
410,1
411,1
412,1
413,1
415,1
416,1
418,1
419,1
422,1
424,1
426,1
427,1
428,1
429,1
431,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
445,1
446,1
447,0
450,1
452,1
453,1
454,1
456,1
457,1
459,1
461,1
463,1
465,1
467,1
468,1
469,1
470,1
472,1
474,1
476,1
478,1
480,1
482,1
483,1
484,1
486,0
487,1
489,1
490,0
492,1
495,1
496,1
497,1
499,0
501,1
502,1
504,1
507,1
508,1
511,0
513,1
520,1
522,1
524,0
526,1
527,0
529,1
531,1
533,0
535,1
536,1
537,0
540,1
541,1
542,0
546,0
547,0
548,1
550,0
551,0
553,1
555,0
557,0
559,1
561,0
562,1
564,0
566,1
568,1
570,1
573,1
574,1
575,0
577,1
579,0
581,1
582,0
584,1
586,1
588,0
590,0
591,1
592,0
595,0
597,0
600,0
601,0
602,0
604,1
606,0
607,0
610,1
613,0
614,0
615,0
616,0
618,1
620,1
622,0
624,1
626,1
628,0
630,0
631,0
633,0
634,0
635,0
638,0
640,0
642,0
644,0
645,0
647,0
648,1
650,0
652,0
654,1
656,0
658,0
659,1
661,0
662,1
664,0
667,1
669,1
671,0
672,0
674,0
676,1
679,0
681,1
683,1
685,1
687,1
688,1
692,1
694,1
696,0
697,1
699,1
700,1
704,0
706,1
708,1
709,1
710,0
711,1
713,1
715,1
718,1
720,1
722,1
723,1
726,1
728,1
731,0
733,1
734,0
736,1
739,1
741,0
743,1
745,1
746,0
747,0
756,0
758,1
760,1
761,1
763,1
766,1
767,0
769,1
770,0
772,1
774,1
777,1
779,1
781,1
783,0
785,1
787,1
789,1
791,0
793,0
795,0
797,1
799,1
801,1
802,1
804,0
806,1
807,1
809,1
811,1
814,1
816,1
818,1
820,0
821,1
823,1
825,1
827,1
830,0
831,1
832,1
834,1
835,1
837,0
840,0
842,1
844,1
845,0
847,1
849,1
852,0
854,0
856,1
857,1
859,0
861,0
864,1
867,1
868,1
869,1
871,1
873,1
875,0
878,0
880,1
881,1
882,0
883,1
886,1
889,1
890,0
892,1
894,0
895,1
898,1
901,1
903,1
905,1
906,1
907,1
910,1
912,1
914,1
917,1
918,1
919,1
922,1
925,1
927,1
928,1
930,1
931,1
933,1
935,1
938,1
940,1
942,1
943,1
945,1
947,1
951,1
953,1
954,1
955,1
956,1
959,1
961,1
964,1
966,1
968,1
969,1
971,1
973,1
975,1
977,1
979,1
981,1
982,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
993,1
994,1
996,1
998,1
1000,1
1003,1
1005,1
1008,1
1010,1
1011,1
1013,1
1016,1
1018,1
1021,1
1022,1
1023,1
1025,1
1027,1
1029,1
1031,1
1033,1
1035,1
1036,1
1040,1
1043,1
1045,1
1046,1
1047,1
1049,1
1050,1
1055,1
1057,1
1058,1
1059,1
1060,1
1062,1
1066,1
1069,1
1071,1
1072,1
1073,1
1075,1
1078,1
1080,1
1082,1
1084,1
1085,1
1087,1
1091,1
1093,1
1095,1
1096,1
1097,1
1098,1
1104,1
1106,1
1107,1
1108,1
1109,1
1110,0
1113,1
1115,1
1117,0
1119,1
1121,1
1122,1
1125,1
1126,1
1128,1
1130,1
1132,1
1134,1
1136,1
1138,1
1140,1
1142,1
1144,1
1146,0
1147,1
1150,1
1151,1
1153,1
1155,1
1157,1
1159,1
1162,1
1163,1
1165,1
1167,1
1169,0
1171,1
1173,0
1175,1
1176,0
1178,1
1180,1
1182,0
1185,1
1187,0
1188,1
1189,0
1191,1
1193,0
1197,1
1198,1
1200,1
1201,0
1203,1
1204,1
1209,1
1210,0
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1223,1
1225,1
1227,1
1229,1
1231,1
1232,1
1234,1
1236,1
1238,0
1240,1
1242,1
1244,1
1246,1
1248,0
1250,0
1252,0
1254,0
1256,0
1258,0
1260,0
1262,0
1264,0
1274,1
1276,0
1277,0
1279,0
1281,0
1284,0
1286,0
1288,0
1289,0
1292,0
1294,0
1297,0
1299,0
1301,0
1302,0
1304,0
1305,0
1308,0
1310,0
1312,0
1314,0
1316,0
1317,0
1318,1
1321,0
1323,1
1324,0
1328,1
1329,0
1330,1
1332,1
1334,1
1336,1
1340,0
1341,1
1343,0
1344,1
1346,1
1348,1
1350,1
1353,1
1354,1
1356,1
1357,1
1359,0
1361,1
1365,0
1367,1
1369,1
1370,1
1371,1
1372,1
1376,1
1379,1
1381,1
1382,1
1383,0
1385,1
1389,1
1391,1
1393,1
1394,1
1395,1
1397,1
1401,1
1403,1
1405,1
1407,1
1408,1
1409,1
1413,1
1415,1
1417,1
1419,1
1420,1
1421,1
1424,1
1426,1
1428,1
1431,1
1433,1
1434,1
1436,1
1438,1
1440,1
1443,1
1444,1
1446,1
1448,1
1450,1
1452,1
1455,1
1456,1
1458,1
1459,1
1462,1
1464,1
1466,1
1469,1
1470,1
1471,1
1474,1
1477,1
1479,1
1481,1
1490,0
1492,0
1495,1
1496,0
1498,0
1499,0
1500,1
1502,1
1506,1
1508,0
1510,0
1511,0
1512,1
1513,0
1514,1
1516,1
1518,0
1521,0
1523,1
1525,0
1526,1
1528,0
1530,0
1532,0
1535,0
1537,1
1538,0
1539,1
1541,0
1543,0
1546,0
1549,0
1551,0
1552,0
1553,0
1555,0
1558,0
1560,0
1562,0
1564,0
1565,0
1567,0
1569,1
1572,0
1574,0
1576,0
1577,0
1579,0
1581,0
1584,0
1586,0
1588,0
1589,0
1590,0
1591,0
1593,1
1596,0
1598,0
1600,0
1602,0
1603,0
1604,0
1605,0
1607,0
1609,0
1613,0
1615,0
1616,0
1617,0
1619,0
1621,0
1625,0
1627,0
1628,0
1629,1
1631,1
1633,0
1637,1
1639,0
1640,0
1641,0
1651,0
1653,0
1656,0
1657,0
1658,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1672,0
1674,0
1676,0
1677,0
1678,0
1679,0
1684,0
1686,0
1688,0
1689,0
1690,0
1692,0
1693,0
1698,0
1700,0
1702,0
1703,0
1704,0
1705,0
1710,0
1711,0
1712,0
1713,0
1715,0
1717,0
1718,0
1719,0
1720,0
1722,0
1724,0
1726,0
1730,0
1731,0
1732,0
1734,0
1736,0
1738,0
1743,0
1744,0
1745,0
1746,0
1748,0
1750,0
1754,0
1756,0
1757,0
1758,0
1760,0
1762,0
1766,0
1768,0
1769,0
1770,0
1771,0
1773,0
1778,0
1780,0
1781,0
1782,0
1783,0
1785,0
1787,0
1791,0
1793,0
1794,0
1795,0
1797,0
1799,0
1803,0
1805,0
1806,0
1807,0
1809,0
1811,0
1815,0
1817,0
1818,0
1821,0
1823,0
1825,0
1828,0
1829,0
1831,0
1833,0
1835,0
1837,0
1841,0
1842,0
1843,0
1844,0
1847,0
1849,0
1853,0
1854,0
1855,0
1856,0
1858,0
1861,0
1865,0
1866,0
1867,0
1868,0
1870,0
1872,0
1877,0
1878,0
1880,0
1881,0
1883,0
1885,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1896,0
1898,0
1899,0
1900,0
1902,0
1904,0
1909,0
1910,0
1911,0
1913,0
1916,0
1917,0
1921,0
1922,0
1923,0
1924,0
1925,0
1927,0
1930,0
1931,0
1933,0
1935,0
1937,0
1938,0
1942,0
1943,0
1945,0
1947,1
1950,0
1951,1
1952,1
1955,0
1956,0
1958,1
1960,0
1963,1
1964,0
1967,0
1968,0
1970,1
1972,1
1975,1
1976,0
1979,1
1980,1
1982,0
1984,0
1987,0
1988,0
1990,0
1992,1
1993,1
1995,0
1998,0
2000,1
2002,1
2004,0
2006,1
2007,1
2010,0
2012,0
2014,1
2016,0
2017,1
2019,0
2020,1
2023,0
2025,0
2026,0
2028,1
2030,1
2032,1
2033,0
2034,1
2038,1
2039,1
2040,0
2041,0
2043,0
2045,1
2048,0
2049,0
2051,1
2053,0
2054,0
2055,0
2059,1
2060,0
2062,1
2063,0
2065,1
2067,0
2068,0
2071,0
2073,0
2074,1
2076,0
2079,0
2081,1
2082,1
2084,0
2086,0
2087,1
2090,0
2092,1
2094,0
2096,0
2098,1
2099,0
2102,0
2104,1
2106,0
2108,1
2110,0
2112,1
2113,1
2116,1
2118,0
2120,1
2121,0
2123,1
2125,1
2127,1
2130,0
2131,1
2133,1
2135,0
2137,1
2139,1
2144,1
2146,1
2147,0
2149,1
2151,1
2153,1
2157,1
2159,1
2161,0
2163,1
2164,0
2166,1
2169,1
2171,1
2173,0
2175,0
2176,1
2177,1
2181,0
2183,1
2185,0
2187,0
2188,0
2189,0
2191,0
2194,0
2196,1
2198,0
2200,1
2201,0
2203,0
2207,0
2208,0
2210,1
2212,0
2213,0
2215,0
2219,0
2220,0
2222,0
2224,0
2226,0
2227,0
2231,0
2232,0
2234,0
2235,0
2237,0
2239,0
2242,0
2244,0
2245,0
2247,0
2249,0
2251,0
2254,0
2257,0
2259,0
2261,0
2262,0
2263,0
2266,0
2269,0
2271,0
2273,0
2274,0
2275,0
2277,0
2281,0
2283,0
2285,0
2286,0
2287,0
2288,0
2291,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2303,0
2304,0
2306,0
2308,0
2311,0
2312,1
2314,0
2316,0
2318,0
2320,0
2322,1
2324,1
2325,0
2327,1
2329,1
2332,0
2333,0
2335,1
2337,0
2338,1
2340,0
2343,1
2346,0
2348,1
2349,1
2351,1
2353,0
2356,0
2360,0
2362,0
2364,0
2366,0
2367,0
2368,0
2372,0
2374,0
2376,1
2378,1
2380,1
2381,0
2384,0
2386,0
2388,1
2390,1
2392,1
2393,0
2403,1
2405,1
2407,1
2409,1
2410,1
2412,1
2414,1
2418,1
2420,1
2421,1
2422,1
2424,1
2426,1
2430,0
2432,1
2433,1
2434,1
2436,1
2438,1
2441,1
2443,1
2445,1
2446,1
2448,1
2450,1
2453,1
2455,1
2457,1
2458,1
2459,1
2462,1
2467,1
2468,1
2469,1
2471,1
2473,1
2475,1
2479,1
2480,1
2481,1
2483,1
2485,1
2487,1
2491,1
2492,1
2493,1
2495,1
2497,0
2499,1
2503,1
2504,1
2505,1
2507,1
2509,1
2511,1
2515,1
2517,1
2518,1
2519,1
2520,1
2522,1
2525,1
2527,1
2529,1
2531,1
2532,1
2534,1
2536,1
2539,1
2541,1
2543,1
2544,1
2546,1
2548,1
2552,1
2554,1
2555,1
2556,1
2558,1
2560,1
2565,1
2566,1
2567,1
2568,1
2570,1
2572,1
2574,1
2576,1
2578,1
2580,1
2581,1
2582,1
2586,1
2587,1
2589,1
2591,1
2593,1
2594,1
2598,1
2599,1
2601,1
2603,1
2605,1
2606,1
2610,1
2611,1
2613,1
2615,1
2617,1
2618,1
2622,1
2623,1
2625,1
2627,1
2629,1
2630,1
2634,1
2635,1
2637,1
2639,1
2641,1
2642,0
2644,1
2648,1
2650,1
2652,0
2654,0
2655,1
2656,0
2660,1
2661,1
2662,1
2663,1
2664,0
2665,1
2666,1
2667,1
2668,1
2669,1
2671,1
2672,1
2675,0
2677,1
2679,1
2684,1
2685,1
2686,1
2689,1
2692,0
2694,1
2696,1
2697,1
2698,1
2701,1
2704,1
2706,1
2708,1
2709,1
2710,1
2712,1
2716,1
2718,0
2720,0
2721,1
2722,1
2723,0
2727,1
2728,1
2730,1
2732,1
2734,1
2735,1
2739,1
2740,1
2742,1
2744,1
2746,0
2747,1
2750,1
2752,1
2753,1
2755,1
2757,1
2759,0
2760,1
2764,1
2765,1
2767,1
2769,1
2771,1
2772,1
2775,1
2777,1
2778,1
2780,1
2782,1
2784,1
2787,1
2788,1
2789,0
2790,0
2792,1
2793,1
2796,1
2798,1
2800,1
2802,1
2804,1
2805,1
2808,1
2810,1
2811,1
2813,1
2815,0
2818,1
2820,1
2823,1
2824,1
2826,1
2828,1
2830,1
2831,1
2835,1
2837,0
2839,0
2841,0
2842,0
2844,1
2847,1
2849,1
2851,1
2853,0
2854,1
2856,1
2859,1
2861,0
2863,1
2865,1
2866,1
2868,1
2871,1
2872,1
2874,1
2876,1
2878,1
2879,1
2883,1
2884,1
2886,1
2888,0
2890,1
2891,1
2896,0
2900,1
2901,1
2903,0
2905,0
2907,1
2910,1
2912,1
2913,1
2915,1
2917,1
2919,1
2920,1
2923,1
2925,1
2927,1
2928,1
2930,0
2932,1
2934,0
2936,0
2938,1
2940,0
2941,1
2943,1
2946,1
2948,0
2950,0
2952,1
2953,0
2955,0
2958,0
2960,1
2962,1
2964,1
2965,0
2967,0
2970,1
2972,0
2974,1
2976,1
2977,1
2979,1
2982,1
2984,0
2986,0
2988,1
2990,1
2991,0
2994,0
2995,0
2997,1
2999,1
3001,1
3003,1
3006,1
3010,1
3012,1
3013,1
3015,1
3017,1
3019,1
3022,1
3024,1
3025,1
3026,1
3028,1
3030,1
3033,1
3034,1
3035,1
3036,1
3037,1
3038,1
3039,1
3040,1
3041,1
3043,1
3045,1
3047,1
3050,1
3051,1
3053,1
3055,1
3057,1
3059,1
3062,1
3063,1
3065,1
3067,0
3069,1
3071,1
3073,1
3076,1
3077,1
3079,1
3081,0
3083,1
3085,1
3088,1
3089,0
3091,1
3093,0
3095,1
3097,0
3100,1
3102,0
3104,1
3106,1
3108,1
3110,1
3112,1
3114,0
3120,1
3121,1
3122,0
3123,1
3124,1
3125,1
3126,1
3127,1
3128,1
3129,1
3133,1
3136,1
3138,1
3139,0
3140,1
3141,1
3145,0
3148,1
3150,1
3151,0
3152,1
3153,1
3157,1
3160,1
3162,1
3163,1
3164,1
3165,1
3169,1
3172,1
3174,1
3175,1
3176,0
3177,1
3180,1
3183,1
3185,0
3187,0
3189,0
3190,0
3192,1
3195,1
3197,1
3199,0
3201,1
3202,1
3204,0
3207,0
3209,0
3211,1
3213,0
3214,1
3217,1
3220,1
3222,1
3225,0
3226,0
3228,1
3233,1
3234,1
3236,1
3237,1
3239,1
3242,1
3248,1
3251,1
3254,0
3256,0
3258,1
