cell_id,Gate
56876,1
56877,0
56878,0
56879,0
56880,1
56881,0
56882,0
56883,1
56884,1
56885,1
56886,0
56887,0
56888,0
56889,0
56890,0
56891,1
56892,1
56893,0
56894,0
56895,0
56896,0
56897,1
56898,1
56899,0
56900,0
56901,0
56902,1
56903,0
56904,1
56905,1
56906,1
56907,1
56908,0
56909,0
56910,1
56911,1
56912,0
56913,0
56914,0
56915,1
56916,0
56917,0
56918,0
56919,0
56920,0
56921,0
56922,0
56923,1
56924,1
56925,0
56926,1
56927,0
56928,1
56929,0
56930,1
56931,0
56932,0
56933,0
56934,0
56935,0
56936,1
56937,0
56938,1
56939,0
56940,1
56941,1
56942,1
56943,1
56944,1
56945,0
56946,0
56947,1
56948,1
56949,0
56950,1
56951,1
56952,1
56953,0
56954,1
56955,0
56956,1
56957,1
56958,1
56959,0
56960,1
56961,1
56962,0
56963,0
56964,1
56965,1
56966,1
56967,1
56968,0
56969,0
56970,0
56971,0
56972,1
56973,1
56974,0
56975,0
56976,1
56977,0
56978,1
56979,1
56980,1
56981,1
56982,0
56983,0
56984,0
56985,1
56986,1
56987,1
56988,1
56989,1
56990,0
56991,1
56992,1
56993,0
56994,1
56995,0
56996,1
56997,1
56998,1
56999,1
57000,0
57001,0
57002,1
57003,1
57004,1
57005,1
57006,1
57007,1
57008,1
57009,1
57010,0
57011,0
57012,0
57013,1
57014,1
57015,0
57016,1
57017,1
57018,0
57019,0
57020,1
57021,1
57022,1
57023,1
57024,0
57025,0
57026,1
57027,1
57028,0
57029,1
57030,1
57031,0
57032,1
57033,1
57034,1
57035,0
57036,0
57037,1
57038,0
57039,0
57040,1
57041,1
57042,0
57043,1
57044,1
57045,0
57046,1
57047,1
57048,1
57049,0
57050,1
57051,1
57052,1
57053,1
57054,0
57055,1
57056,0
57057,1
57058,0
57059,1
57060,1
57061,1
57062,0
57063,1
57064,1
57065,0
57066,1
57067,1
57068,1
57069,1
57070,1
57071,0
57072,0
57073,1
57074,0
57075,1
57076,1
57077,0
57078,0
57079,1
57080,1
57081,1
57082,1
57083,1
57084,1
57085,1
57086,1
57087,1
57088,1
57089,0
57090,1
57091,0
57092,0
57093,0
57094,0
57095,1
57096,1
57097,1
57098,1
57099,1
57100,1
57101,1
57102,1
57103,1
57104,0
57105,1
57106,1
57107,0
57108,0
57109,1
57110,1
57111,0
57112,1
57113,1
57114,1
57115,1
57116,0
57117,1
57118,1
57119,1
57120,1
57121,0
57122,1
57123,1
57124,1
57125,1
57126,1
57127,1
57128,0
57129,1
57130,1
57131,0
57132,1
57133,0
57134,1
57135,1
57136,1
57137,1
57138,0
57139,0
57140,1
57141,1
57142,1
57143,1
57144,1
57145,1
57146,0
57147,1
57148,0
57149,1
57150,1
57151,1
57152,0
57153,1
57154,0
57155,1
57156,1
57157,0
57158,1
57159,1
57160,1
57161,0
57162,0
57163,1
57164,0
57165,1
57166,0
57167,0
57168,0
57169,1
57170,1
57171,1
57172,1
57173,1
57174,1
57175,1
57176,0
57177,0
57178,0
57179,0
57180,1
57181,0
57182,1
57183,1
57184,1
57185,0
57186,1
57187,1
57188,1
57189,1
57190,1
57191,0
57192,1
57193,1
57194,1
57195,1
57196,0
57197,0
57198,0
57199,0
57200,1
57201,1
57202,0
57203,0
57204,1
57205,1
57206,0
57207,0
57208,0
57209,1
57210,1
57211,1
57212,0
57213,1
57214,1
57215,0
57216,1
57217,0
57218,0
57219,1
57220,1
57221,1
57222,0
57223,1
57224,0
57225,1
57226,1
57227,1
57228,1
57229,1
57230,1
57231,0
57232,0
57233,0
57234,0
57235,1
57236,1
57237,1
57238,1
57239,1
57240,0
57241,0
57242,0
57243,1
57244,0
57245,0
57246,1
57247,1
57248,1
57249,1
57250,0
57251,1
57252,0
57253,0
57254,1
57255,1
57256,0
57257,0
57258,1
57259,0
57260,1
57261,0
57262,0
57263,0
57264,1
57265,1
57266,1
57267,0
57268,1
57269,0
57270,0
57271,1
57272,1
57273,0
57274,1
57275,1
57276,1
57277,1
57278,0
57279,1
57280,1
57281,0
57282,1
57283,0
57284,1
57285,1
57286,1
57287,1
57288,1
57289,1
57290,0
57291,1
57292,0
57293,0
57294,1
57295,1
57296,0
57297,1
57298,1
57299,1
57300,1
57301,1
57302,0
57303,0
57304,1
57305,1
57306,1
57307,1
57308,1
57309,1
57310,0
57311,1
57312,1
57313,0
57314,1
57315,1
57316,1
57317,1
57318,1
57319,1
57320,0
57321,1
57322,0
57323,1
57324,1
57325,1
57326,1
57327,0
57328,1
57329,1
57330,1
57331,0
57332,1
57333,1
57334,1
57335,0
57336,0
57337,1
57338,1
57339,1
57340,1
57341,0
57342,0
57343,1
57344,0
57345,1
57346,0
57347,1
57348,1
57349,1
57350,1
57351,0
57352,1
57353,0
57354,1
57355,1
57356,1
57357,1
57358,1
57359,1
57360,1
57361,1
57362,1
57363,1
57364,1
57365,1
57366,1
57367,1
57368,1
57369,0
57370,1
57371,1
57372,0
57373,1
57374,1
57375,0
57376,1
57377,0
57378,1
57379,1
57380,1
57381,1
57382,1
57383,1
57384,1
57385,1
57386,1
57387,1
57388,1
57389,1
57390,1
57391,1
57392,1
57393,1
57394,1
57395,1
57396,0
57397,1
57398,1
57399,1
57400,1
57401,1
57402,1
57403,1
57404,1
57405,1
57406,1
57407,1
57408,1
57409,1
57410,1
57411,1
57412,1
57413,1
57414,1
57415,1
57416,1
57417,1
57418,1
57419,1
57420,1
57421,1
57422,0
57423,1
57424,1
57425,1
57426,1
57427,1
57428,1
57429,1
57430,1
57431,1
57432,1
57433,1
57434,1
57435,1
57436,0
57437,1
57438,1
57439,1
57440,1
57441,1
57442,1
57443,1
57444,1
57445,1
57446,0
57447,1
57448,0
57449,0
57450,1
57451,1
57452,0
57453,0
57454,0
57455,1
57456,1
57457,1
57458,1
57459,1
57460,0
57461,1
57462,0
57463,1
57464,1
57465,0
57466,0
57467,1
57468,1
57469,1
57470,1
57471,1
57472,0
57473,1
57474,1
57475,0
57476,1
57477,0
57478,1
57479,1
57480,1
57481,0
57482,1
57483,0
57484,1
57485,1
57486,1
57487,1
57488,0
57489,1
57490,1
57491,1
57492,1
57493,0
57494,1
57495,0
57496,1
57497,1
57498,0
57499,1
57500,0
57501,1
57502,0
57503,1
57504,1
57505,1
57506,1
57507,1
57508,1
57509,1
57510,1
57511,0
57512,1
57513,1
57514,0
57515,1
57516,0
57517,1
57518,0
57519,1
57520,0
57521,1
57522,1
57523,1
57524,1
57525,1
57526,1
57527,1
57528,1
57529,1
57530,1
57531,1
57532,0
57533,1
57534,1
57535,1
57536,0
57537,1
57538,1
57539,1
57540,1
57541,0
57542,1
57543,1
57544,0
57545,1
57546,0
57547,0
